,poms_id,poms_tense,poms_angry,poms_wornOut,poms_unhappy,poms_proud,poms_lively,poms_confused,poms_sad,poms_active,poms_onEdge,poms_grouchy,poms_ashamed,poms_energetic,poms_hopeless,poms_uneasy,poms_restless,poms_unableToConcentrate,poms_fatigued,poms_competent,poms_annoyed,poms_discouraged,poms_resentful,poms_nervous,poms_miserable,poms_confident,poms_bitter,poms_exhausted,poms_anxious,poms_helpless,poms_weary,poms_satisfied,poms_bewildered,poms_furious,poms_fullOfPep,poms_worthless,poms_forgetful,poms_vigorous,poms_uncertainAboutThings,poms_bushed,poms_embarrassed,poms_tenSum,poms_angSum,poms_fatSum,poms_depSum,poms_eraSum,poms_vigSum,poms_conSum,poms_tmdSum,poms_timestamp,poms_user_id
15,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:38:07.542536,2
16,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:38:28.657531,2
17,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:41:30.892522,2
18,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:42:07.102247,2
19,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:42:56.692715,2
20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:43:23.975148,2
21,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:43:37.699867,2
22,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:43:54.933377,2
23,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:45:48.291251,2
24,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:46:39.243261,2
25,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 18:47:05.084114,2
26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-4,2020-05-22 19:03:34.995649,2
